series id ,series.title,description,site.channel,primary.channel.sub.channel, average monthly total users (June - Sep 17) 
1,Rick and Morty,"Rick and Morty is a show about a sociopathic scientist who drags his unintelligent grandson on insanely dangerous adventures across the universe. Created and executive produced by Dan Harmon (Community, Channel 101) and Justin Roiland (House of Cosbys).",Animation and Cartoons~Primetime Animation|Teen,Animation and Cartoons~Primetime Animation,6840696
2,The Orville,"From Emmy Award-winning executive producer and creator Seth MacFarlane, THE ORVILLE is a live-action, one-hour space adventure series set 400 years in the future that follows The Orville, a mid-level exploratory spaceship. Its crew, both human and alien, face the wonders and dangers of outer space, while also dealing with the familiar, often humorous problems of everyday life.",Science Fiction~Science Fiction - Space|Comedy,Science Fiction~Science Fiction - Space,4762773
3,South Park,"Underpants-stealing gnomes, a talking Christmas poo, metrosexual Crab PeopleÉEvery episode of this critically-acclaimed and award-winning show is packed with unforgettable adventures, cutting satire, and hilarious absurdity _ from pissed off celebrities to talking towels to crime-fighting kids. So join Kyle, Stan, Kenny and Cartman for the all the dysfunction and all the excitement. For them, it's just a part of growing up in South Park!",Comedy|Animation and Cartoons~Primetime Animation,Comedy,352268
4,Will & Grace (1998),"Will and Grace are best friends and roommates. With pals Karen and Jack, it's all fair game for this outspoken foursome, from sex and dating to cutting cultural commentary.",Comedy~Sitcoms|,Comedy~Sitcoms,7703661
5,Bob's Burgers,"Bob runs Bob's Burgers with the help of his wife and their three kids. Business may be slow, but they never give up hope.",Animation and Cartoons~Primetime Animation|Comedy,Animation and Cartoons~Primetime Animation,9319898
6,America's Got Talent,America votes in the ultimate talent show to determine which act deserves a million dollars.,Reality and Game Shows~Competition|Teen,Reality and Game Shows~Competition,1744263
7,Bachelor in Paradise,"Some of The Bachelor's biggest stars and villains are back. They all left The Bachelor or The Bachelorette with broken hearts, but now they know what it really takes to find love, and on Bachelor in Paradise they'll get a second chance to find their soul mates. Contestants will live together in an isolated romantic paradise in Mexico and explore new romantic relationships.",Reality and Game Shows~Competition,Reality and Game Shows~Competition,3972066
8,The Handmaid's Tale,"Adapted from the classic novel by Margaret Atwood, The Handmaid's Tale is the story of life in the dystopia of Gilead, a totalitarian society in what was formerly the United States. Facing environmental disasters and a plunging birthrate, Gilead is ruled by a twisted fundamentalism in its militarized Ôreturn to traditional values'. As one of the few remaining fertile women, Offred (Elisabeth Moss) is a Handmaid in the CommanderÕs household, one of the caste of women forced into sexual servitude as a last desperate attempt to repopulate the world. In this terrifying society, Offred must navigate between Commanders, their cruel Wives, domestic Marthas, and her fellow Handmaids _ where anyone could be a spy for Gilead _ all with one goal: to survive and find the daughter that was taken from her.",Drama|Science Fiction,Drama,6610551
9,Atlanta,"Two cousins work through the Atlanta music scene in order to better their lives and the lives of their families.  Donald Glover serves as Executive Producer on the Emmy¨ and Golden Globe¨ winning series, along with Paul Simms and Dianne McGunigle. Atlanta is produced by FX Productions.",Comedy,Comedy,2757526
10,Family Guy,The adventures of an endearingly ignorant dad and his hilariously odd family of middle-class New Englanders.,Animation and Cartoons~Primetime Animation|Teen|Comedy~Sitcoms,Comedy~Sitcoms,98716
